Animal ID;Day_pre_5;Day_pre_4;Day_pre_3;Day_pre_2;Day_pre_1;Day_post_1;Day_post_2;Day_post_3;Day_post_4;Day_post_5
1;41;59;110;126;121;66;181;50;71.5;41
2;47;8;55;83;154;40;100;23;40.7;29
3;13;12;24;61;73;78;77;120;119.5;161
4;96;70;104;151;116;69;163;74;86.3;69
5;83;73;124;107;139;48;168;102;87.0;51
6;17;15;30;39;33;142;77;140;118.2;105
7;27;39;40;60;43;88;78;90;71.3;41
8;179;151;182;136;164;39;144;45;73.8;85
9;24;8;28;47;63;37;21;25;25.3;22
10;55;75;118;90;53;113;156;99;106.8;87
11;30;53;66;69;15;42;58;42;43.7;39
12;123;52;95;106;132;99;164;168;138.8;117
13;34;17;37;47;34;84;86;59;75.7;83
14;16;13;27;42;45;59;42;31;46.2;57
15;23;7;31;43;25;64;53;31;40.2;31
16;46;52;93;67;80;33;102;29;22;36
17;35;70;139;64;101.5;72;139;76;58;52
18;27;27;68;48;58;161;121;76;43;61
19;51;30;92;63;77.5;62;131;89;93;95
20;53;69;139;63;101;61;171;42;97;87
21;52;52;120;150;135;47;214;94;129;122
22;47;52;100;;100;59;131;43;60;39
23;66;41;105;73;89;25;127;18;20;33
24;42;52;120;62;91;151;70;114;128;85
25;70;40;139;52;95.5;27;61;19;36;18
26;33;47;70;57;63.5;24;68;34;26;44
27;54;44;113;114;113.5;73;162;48;100;39
28;49;63;165;51;108;22;116;55;69;24
29;35;38;83;59;71;20;81;24;40;23
30;138;56;127;203;165;73;155;106;105;94
31;41;57;107;156;112;87;167;88;150;140
32;92;91;155;176;191;140;204;118;224;157
33;58;80;94;92;69;54;100;66;139;87
34;67;75;96;125;79;123;135;89;138;159
35;82;54;112;121;137;77;107;146;188;129
36;24;62;116;54;66;55;129;48;55;95
37;50;43;67;63;50;32;71;48;85;93
38;91;58;113;101;101;13;78;34;52;56
39;41;67;88;102;90;77;68;197;205;125
