Animal ID;d5;d4;d3;d2;d1
1;32;59;28;41;68
2;51;63;57;70;46
3;60;71;78;127;79
4;31;50;42;45;53
5;81;72;100;121;61
6;35;45;39;30;50
7;58;48;36;97;86
8;79;85;99;106;110
9;42;36;72;81;83
10;30;51;57;49;56
11;38;43;55;66;51
12;48;38;68;45;38
13;53;52;91;82;63
14;40;44;46;70;42
15;34;39;47;69;46
16;68;41;24;61;67
17;67;48;38;82;85
18;93;9;10;79;108
19;78;49;38;60;57
20;103;151;85;122;118
21;39;40;47;67;30
22;95;83;88;59;105
23;50;40;26;71;31
24;41;46;56;41;48
25;61;79;77;93;62
26;59;84;78;87;75
27;68;72;44;42;47
28;130;111;124;143;112
29;55;42;44;140;49
30;65;86;54;80;78
31;64;55;66;86;89
32;84;74;84;121;76
